# Various different names and numbers for all the materials
# and commodities for which we know anything
# 
# The parser reads the headings to determine the width of the
# column, so you can change the column widths in this file by
# simply moving the column headings.  The ; character marks a
# column position and the name follows.
#
# Version only needs to be bumped if a Localized Name for a
# Material or relevant Commodity changes.
# 
; Localized Name (US)                    ; Type                 ; Journal Name                 ; Data Version
Antimony                                 Materials              antimony                       0
Arsenic                                  Materials              arsenic                        0
Basic Conductors                         Materials              basicconductors                0
Biotech Conductors                       Materials              biotechconductors              0
Cadmium                                  Materials              cadmium                        0
Carbon                                   Materials              carbon                         0
Chemical Distillery                      Materials              chemicaldistillery             0
Chemical Manipulators                    Materials              chemicalmanipulators           0
Chemical Processors                      Materials              chemicalprocessors             0
Chemical Storage Units                   Materials              chemicalstorageunits           0
Chromium                                 Materials              chromium                       0
Compact Composites                       Materials              compactcomposites              0
Compound Shielding                       Materials              compoundshielding              0
Conductive Ceramics                      Materials              conductiveceramics             0
Conductive Components                    Materials              conductivecomponents           0
Conductive Polymers                      Materials              conductivepolymers             0
Configurable Components                  Materials              configurablecomponents         0
Core Dynamics Composites                 Materials              coredynamicscomposites         0
Crystal Shards                           Materials              crystalshards                  0
Electrochemical Arrays                   Materials              electrochemicalarrays          0
Exquisite Focus Crystals                 Materials              exquisitefocuscrystals         0
Filament Composites                      Materials              filamentcomposites             0
Flawed Focus Crystals                    Materials              flawedfocuscrystals            0
Focus Crystals                           Materials              focuscrystals                  0
Galvanising Alloys                       Materials              galvanisingalloys              0
Germanium                                Materials              germanium                      0
Grid Resistors                           Materials              gridresistors                  0
Heat Conduction Wiring                   Materials              heatconductionwiring           0
Heat Dispersion Plate                    Materials              heatdispersionplate            0
Heat Exchangers                          Materials              heatexchangers                 0
Heat Resistant Ceramics                  Materials              heatresistantceramics          0
Heat Vanes                               Materials              heatvanes                      0
High Density Composites                  Materials              highdensitycomposites          0
Hybrid Capacitors                        Materials              hybridcapacitors               0
Imperial Shielding                       Materials              imperialshielding              0
Improvised Components                    Materials              improvisedcomponents           0
Iron                                     Materials              iron                           0
Manganese                                Materials              manganese                      0
Mechanical Components                    Materials              mechanicalcomponents           0
Mechanical Equipment                     Materials              mechanicalequipment            0
Mechanical Scrap                         Materials              mechanicalscrap                0
Mercury                                  Materials              mercury                        0
Military Grade Alloys                    Materials              militarygradealloys            0
Military Supercapacitors                 Materials              militarysupercapacitors        0
Molybdenum                               Materials              molybdenum                     0
Nickel                                   Materials              nickel                         0
Niobium                                  Materials              niobium                        0
Pharmaceutical Isolators                 Materials              pharmaceuticalisolators        0
Phase Alloys                             Materials              phasealloys                    0
Phosphorus                               Materials              phosphorus                     0
Polonium                                 Materials              polonium                       0
Polymer Capacitors                       Materials              polymercapacitors              0
Precipitated Alloys                      Materials              precipitatedalloys             0
Proprietary Composites                   Materials              proprietarycomposites          0
Proto Heat Radiators                     Materials              protoheatradiators             0
Proto Light Alloys                       Materials              protolightalloys               0
Proto Radiolic Alloys                    Materials              protoradiolicalloys            0
Refined Focus Crystals                   Materials              refinedfocuscrystals           0
Ruthenium                                Materials              ruthenium                      0
Salvaged Alloys                          Materials              salvagedalloys                 0
Selenium                                 Materials              selenium                       0
Shield Emitters                          Materials              shieldemitters                 0
Shielding Sensors                        Materials              shieldingsensors               0
Sulphur                                  Materials              sulphur                        0
Technetium                               Materials              technetium                     0
Tellurium                                Materials              tellurium                      0
Tempered Alloys                          Materials              temperedalloys                 0
Thermic Alloys                           Materials              thermicalloys                  0
Tin                                      Materials              tin                            0
Tungsten                                 Materials              tungsten                       0
Unknown Fragment                         Materials              unknownenergysource            0
Vanadium                                 Materials              vanadium                       0
Worn Shield Emitters                     Materials              wornshieldemitters             0
Yttrium                                  Materials              yttrium                        0
Zinc                                     Materials              zinc                           0
Zirconium                                Materials              zirconium                      0
Aberrant Shield Pattern Analysis         Data                   shieldpatternanalysis          0
Abnormal Compact Emission Data           Data                   compactemissionsdata           0
Adaptive Encryptors Capture              Data                   adaptiveencryptors             0
Anomalous Bulk Scan Data                 Data                   bulkscandata                   0
